Initializing Solar Radiometer........,
Maximum Average Voltage (V): ,4.51
The sun was at a zenith of 62.5606 and an azimuth (servo angle) of 30.3811,
22:50:53 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.53
The sun was at a zenith of 62.7366 and an azimuth (servo angle) of 30.1187,
22:52:03 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.49
The sun was at a zenith of 62.9154 and an azimuth (servo angle) of 29.8537,
22:53:14 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.46
The sun was at a zenith of 63.0941 and an azimuth (servo angle) of 29.5903,
22:54:25 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.46
The sun was at a zenith of 63.2747 and an azimuth (servo angle) of 29.3264,
22:55:36 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.48
The sun was at a zenith of 63.4550 and an azimuth (servo angle) of 29.0638,
22:56:47 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.33
The sun was at a zenith of 63.6357 and an azimuth (servo angle) of 28.8021,
22:57:58 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.42
The sun was at a zenith of 63.8163 and an azimuth (servo angle) of 28.5420,
22:59:09 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.42
The sun was at a zenith of 63.9979 and an azimuth (servo angle) of 28.2818,
23:00:20 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.4
The sun was at a zenith of 64.1799 and an azimuth (servo angle) of 28.0224,
23:01:31 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.45
The sun was at a zenith of 64.3624 and an azimuth (servo angle) of 27.7638,
23:02:42 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.32
The sun was at a zenith of 64.5456 and an azimuth (servo angle) of 27.5063,
23:03:53 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.4
The sun was at a zenith of 64.7289 and an azimuth (servo angle) of 27.2492,
23:05:04 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.39
The sun was at a zenith of 64.9127 and an azimuth (servo angle) of 26.9929,
23:06:15 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.32
The sun was at a zenith of 65.0978 and an azimuth (servo angle) of 26.7368,
23:07:26 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.35
The sun was at a zenith of 65.2816 and an azimuth (servo angle) of 26.4826,
23:08:37 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.29
The sun was at a zenith of 65.4660 and an azimuth (servo angle) of 26.2293,
23:09:48 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.29
The sun was at a zenith of 65.6523 and an azimuth (servo angle) of 25.9755,
23:10:59 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.29
The sun was at a zenith of 65.8381 and an azimuth (servo angle) of 25.7229,
23:12:10 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.26
The sun was at a zenith of 66.0243 and an azimuth (servo angle) of 25.4710,
23:13:21 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.2
The sun was at a zenith of 66.2112 and an azimuth (servo angle) of 25.2201,
23:14:32 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.03
The sun was at a zenith of 66.3973 and an azimuth (servo angle) of 24.9701,
23:15:43 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.22
The sun was at a zenith of 66.5847 and an azimuth (servo angle) of 24.7204,
23:16:54 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.26
The sun was at a zenith of 66.7733 and an azimuth (servo angle) of 24.4708,
23:18:05 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.26
The sun was at a zenith of 66.9608 and an azimuth (servo angle) of 24.2232,
23:19:16 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.11
The sun was at a zenith of 67.1494 and an azimuth (servo angle) of 23.9754,
23:20:27 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.16
The sun was at a zenith of 67.3391 and an azimuth (servo angle) of 23.7279,
23:21:38 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.86
The sun was at a zenith of 67.5283 and an azimuth (servo angle) of 23.4815,
23:22:49 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.24
The sun was at a zenith of 67.7164 and an azimuth (servo angle) of 23.2370,
23:24:00 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.73
The sun was at a zenith of 67.9072 and an azimuth (servo angle) of 22.9915,
23:25:11 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.13
The sun was at a zenith of 68.0975 and an azimuth (servo angle) of 22.7470,
23:26:22 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.96
The sun was at a zenith of 68.2881 and an azimuth (servo angle) of 22.5032,
23:27:33 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.09
The sun was at a zenith of 68.4784 and an azimuth (servo angle) of 22.2608,
23:28:44 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.11
The sun was at a zenith of 68.6706 and an azimuth (servo angle) of 22.0178,
23:29:55 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.08
The sun was at a zenith of 68.8613 and an azimuth (servo angle) of 21.7763,
23:31:06 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.07
The sun was at a zenith of 69.0532 and an azimuth (servo angle) of 21.5349,
23:32:17 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.06
The sun was at a zenith of 69.2464 and an azimuth (servo angle) of 21.2937,
23:33:28 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.04
The sun was at a zenith of 69.4383 and an azimuth (servo angle) of 21.0544,
23:34:39 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.07
The sun was at a zenith of 69.6312 and an azimuth (servo angle) of 20.8148,
23:35:50 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.93
The sun was at a zenith of 69.8252 and an azimuth (servo angle) of 20.5754,
23:37:01 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.95
The sun was at a zenith of 70.0187 and an azimuth (servo angle) of 20.3370,
23:38:12 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.97
The sun was at a zenith of 70.2110 and an azimuth (servo angle) of 20.1004,
23:39:23 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.96
The sun was at a zenith of 70.4060 and an azimuth (servo angle) of 19.8626,
23:40:34 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.94
The sun was at a zenith of 70.6003 and an azimuth (servo angle) of 19.6259,
23:41:45 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.91
The sun was at a zenith of 70.7950 and an azimuth (servo angle) of 19.3898,
23:42:56 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.93
The sun was at a zenith of 70.9902 and an azimuth (servo angle) of 19.1544,
23:44:07 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.87
The sun was at a zenith of 71.1854 and an azimuth (servo angle) of 18.9193,
23:45:18 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.9
The sun was at a zenith of 71.3809 and an azimuth (servo angle) of 18.6848,
23:46:29 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.74
The sun was at a zenith of 71.5735 and an azimuth (servo angle) of 18.4546,
23:47:39 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.76
The sun was at a zenith of 71.7695 and an azimuth (servo angle) of 18.2210,
23:48:50 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.78
The sun was at a zenith of 71.9658 and an azimuth (servo angle) of 17.9880,
23:50:01 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.76
The sun was at a zenith of 72.1632 and an azimuth (servo angle) of 17.7551,
23:51:12 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.77
The sun was at a zenith of 72.3594 and an azimuth (servo angle) of 17.5238,
23:52:23 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.73
The sun was at a zenith of 72.5565 and an azimuth (servo angle) of 17.2922,
23:53:34 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.7
The sun was at a zenith of 72.7538 and an azimuth (servo angle) of 17.0612,
23:54:45 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.64
The sun was at a zenith of 72.9513 and an azimuth (servo angle) of 16.8306,
23:55:56 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.6
The sun was at a zenith of 73.1491 and an azimuth (servo angle) of 16.6005,
23:57:07 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.63
The sun was at a zenith of 73.3465 and an azimuth (servo angle) of 16.3716,
23:58:18 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.64
The sun was at a zenith of 73.5457 and an azimuth (servo angle) of 16.1420,
23:59:29 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.52
The sun was at a zenith of 73.9860 and an azimuth (servo angle) of 16.2470,
0:00:40 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.53
The sun was at a zenith of 74.1841 and an azimuth (servo angle) of 16.0190,
0:01:51 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.52
The sun was at a zenith of 74.3836 and an azimuth (servo angle) of 15.7906,
0:03:02 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.52
The sun was at a zenith of 74.5824 and an azimuth (servo angle) of 15.5632,
0:04:13 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.53
The sun was at a zenith of 74.7803 and an azimuth (servo angle) of 15.3369,
0:05:24 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.49
The sun was at a zenith of 74.9804 and an azimuth (servo angle) of 15.1098,
0:06:35 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.44
The sun was at a zenith of 75.1796 and an azimuth (servo angle) of 14.8839,
0:07:46 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.41
The sun was at a zenith of 75.3793 and an azimuth (servo angle) of 14.6581,
0:08:57 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.38
The sun was at a zenith of 75.5798 and an azimuth (servo angle) of 14.4326,
0:10:08 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.35
The sun was at a zenith of 75.7799 and an azimuth (servo angle) of 14.2076,
0:11:19 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.34
The sun was at a zenith of 75.9799 and an azimuth (servo angle) of 13.9833,
0:12:30 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.29
The sun was at a zenith of 76.1804 and an azimuth (servo angle) of 13.7590,
0:13:41 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.28
The sun was at a zenith of 76.3808 and an azimuth (servo angle) of 13.5355,
0:14:52 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.19
The sun was at a zenith of 76.5816 and an azimuth (servo angle) of 13.3120,
0:16:03 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.18
The sun was at a zenith of 76.7824 and an azimuth (servo angle) of 13.0891,
0:17:14 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.17
The sun was at a zenith of 76.9846 and an azimuth (servo angle) of 12.8659,
0:18:25 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.15
The sun was at a zenith of 77.1857 and an azimuth (servo angle) of 12.6439,
0:19:36 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.13
The sun was at a zenith of 77.3873 and an azimuth (servo angle) of 12.4217,
0:20:47 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.09
The sun was at a zenith of 77.5887 and an azimuth (servo angle) of 12.2003,
0:21:58 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.07
The sun was at a zenith of 77.7907 and an azimuth (servo angle) of 11.9789,
0:23:09 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3.05
The sun was at a zenith of 77.9925 and an azimuth (servo angle) of 11.7581,
0:24:20 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,3
